Date,Close,High,Low,Open,Volume
2023-08-31,1305.9259033203125,1314.5232740786394,1299.7395500542452,1305.653039664003,9792735
2023-09-01,1313.5679931640625,1315.524015813637,1299.3301072963106,1301.8319683222358,3582133
2023-09-04,1332.9002685546875,1337.3581512700403,1305.2433158683236,1312.794430124264,4609014
2023-09-05,1345.4552001953125,1346.5014550487228,1325.0763856474239,1332.8094095252152,5496840
2023-09-06,1344.135986328125,1349.0942859762029,1331.2628646848657,1348.1845184505673,5075786
2023-09-07,1333.901123046875,1340.4515159698167,1330.1256765994524,1337.90412243496,4411743
2023-09-08,1336.994384765625,1341.679709913553,1328.442547485381,1331.4448248574233,3125838
2023-09-11,1343.226318359375,1344.6820353527714,1332.3546400444875,1336.994432557999,4182226
2023-09-12,1365.652099609375,1368.2904478169532,1343.8176775697427,1348.7304447397828,6793161
2023-09-13,1363.1502685546875,1369.2002453382354,1354.3255672096375,1369.2002453382354,4804686
2023-09-14,1370.9742431640625,1376.0690305788348,1363.8781225031132,1369.200240762729,6444213
2023-09-15,1375.204833984375,1381.3912987705646,1372.8394601739947,1381.0273694792074,8657816
2023-09-18,1357.19140625,1369.1093400919283,1353.7342448047293,1369.1093400919283,3991916
2023-09-20,1355.7811279296875,1360.193478454991,1342.9988490854248,1342.9988490854248,4169337
2023-09-21,1366.243408203125,1368.790801746706,1342.8168939622524,1352.4149859666784,6779195
2023-09-22,1361.14892578125,1370.9743500134687,1351.1869031313713,1357.2824131721045,5455613
2023-09-25,1341.1339111328125,1355.417217832278,1338.7685376167728,1355.417217832278,4217863
2023-09-26,1328.85205078125,1346.3650768655104,1327.3509120486192,1345.682751173916,3996528
2023-09-27,1334.6290283203125,1336.994401796738,1319.2085123948889,1324.6215850268404,3863586
2023-09-28,1309.5648193359375,1339.723634998435,1305.5163982722486,1335.447772053514,5814602
2023-09-29,1305.9259033203125,1316.251854791077,1288.2309672949007,1302.8782039633304,6068968
2023-10-03,1304.6068115234375,1307.3361144764153,1292.143039127087,1306.4718796302209,4181867
2023-10-04,1314.022705078125,1319.1173810169118,1290.2322620419864,1296.41872564626,4510406
2023-10-05,1331.399169921875,1342.498399775706,1319.3447508504619,1320.98237673146,7384621
2023-10-06,1345.2733154296875,1350.5500119701062,1331.2629831328265,1336.9034978713848,3598672
2023-10-09,1342.3165283203125,1356.4634585781648,1330.2621079137662,1332.7185470073355,3567552
2023-10-10,1360.239013671875,1361.9220614766054,1336.5395238912695,1350.0041284403374,5688951
2023-10-11,1359.5565185546875,1381.2544503303143,1347.7749632786295,1361.9218917467351,7220129
2023-10-12,1333.264404296875,1368.654385789573,1320.982541821264,1357.2822909047482,11081662
2023-10-13,1302.013916015625,1308.2458018313064,1273.6746332154582,1278.2234711912276,17973439
2023-10-16,1304.7432861328125,1313.3405459284356,1300.967728206962,1302.8782180442538,4850745
2023-10-17,1312.294189453125,1322.2106781963569,1308.2913009819003,1310.2927452175127,3923764
2023-10-18,1310.5657958984375,1322.8021260257406,1308.5642404911625,1311.8849145317179,4264837
2023-10-19,1304.2882080078125,1309.7468130472434,1297.4194189109537,1297.4194189109537,6795691
2023-10-20,1298.4656982421875,1308.7005828841384,1296.6461631947295,1300.9675589324422,3928622
2023-10-23,1281.5440673828125,1303.1055136577397,1278.4508355358098,1296.964582762976,2636516
2023-10-25,1262.5601806640625,1292.5103316871437,1254.4966784655405,1289.2388086550927,6940777
2023-10-26,1252.7919921875,1266.2004921783227,1246.940214740459,1248.7372916684367,6357656
2023-10-27,1272.052001953125,1276.3371998881837,1256.6622771033196,1256.6622771033196,4634358
2023-10-30,1269.0111083984375,1272.0521334622172,1256.155513264206,1272.0521334622172,2667696
2023-10-31,1261.039794921875,1272.7894712580314,1256.0634389161826,1271.6835518717269,3451595
2023-11-01,1247.9075927734375,1269.3794791877367,1245.603735057758,1265.324779602583,3090672
2023-11-02,1262.6524658203125,1268.3199791238953,1254.819348447591,1262.5142118386507,3758060
2023-11-03,1280.069580078125,1282.7880874213406,1269.6560973022642,1271.7756915818663,3349045
2023-11-06,1293.2015380859375,1296.8415885050185,1281.6822487938339,1284.5390100396637,2736381
2023-11-07,1294.1231689453125,1295.5976155760281,1285.4145181543718,1290.1604881630135,2272209
2023-11-08,1281.8665771484375,1294.7681818070128,1277.6735106371746,1294.7681818070128,3550635
2023-11-09,1266.9375,1287.856483391317,1262.5601702711208,1286.3820369286211,5498051
2023-11-10,1261.4544677734375,1265.4171487849635,1254.2203756878132,1262.4681428598753,2943649
2023-11-13,1265.78564453125,1273.9872886097166,1263.2974105189112,1271.5912989072524,3462092
2023-11-15,1299.836669921875,1303.062071087934,1283.7096640915788,1289.2389232333946,8551860
2023-11-16,1331.537841796875,1339.3709592887674,1299.9288638617754,1304.9973516506468,6673907
2023-11-17,1324.764404296875,1337.1591147047359,1322.4605464148888,1327.9898053316556,4901251
2023-11-20,1323.888916015625,1338.0807035519097,1321.1704086192708,1328.8652717092657,3584210
2023-11-21,1326.100830078125,1336.2378065415437,1324.0273576196985,1328.8654600226937,3793135
2023-11-22,1343.42578125,1344.4854659823166,1323.520357257011,1323.520357257011,3108786
2023-11-23,1335.5465087890625,1352.733312304696,1334.1180718038254,1352.733312304696,3186928
2023-11-24,1324.6260986328125,1338.6796311644991,1321.3545755708367,1332.1366975336039,2973195
2023-11-28,1329.510498046875,1331.6300926725826,1315.0884351345396,1330.7085493558543,3755373
2023-11-29,1345.08447265625,1346.0981477081089,1336.0534165206054,1337.251355220777,3875778
2023-11-30,1340.9835205078125,1346.0520077696415,1335.8229014307437,1339.2325660460233,10120867
2023-12-01,1338.357177734375,1345.3608832594507,1332.6896647955414,1345.3608832594507,3489187
2023-12-04,1349.4617919921875,1356.4194883018783,1335.592634024112,1345.8677509348179,5511948
2023-12-05,1339.8778076171875,1351.8118605948976,1328.8654104130064,1350.7981854850148,5123039
2023-12-06,1358.631103515625,1361.1192250096171,1337.2052253968209,1342.4579763254974,5269178
2023-12-07,1350.89013671875,1357.2948166644478,1347.1118322726165,1357.2948166644478,4424453
2023-12-08,1374.1591796875,1377.4305905862009,1351.2127312666094,1355.0371580856024,6323433
2023-12-11,1371.717041015625,1380.471701337861,1365.727010268832,1373.0993558033465,3862018
2023-12-12,1360.243896484375,1373.0993792323097,1352.5029110424384,1361.5800891380788,6103494
2023-12-13,1335.316162109375,1360.2439518858023,1320.7097241735976,1360.19782972632,8549258
2023-12-14,1383.6510009765625,1392.4517835867966,1346.697140932601,1348.5863495012065,12489858
